Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,HybridLSTM_CAF,0.38,0.7441,0.6899,0.835,0.7555,0.8525,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.04334316 0.43198484 0.1630017  ... 0.3745435  0.11526211 0.38300815],hybrid_caf_baseline
Q1,HybridBiLSTM_CAF,0.38,0.7441,0.6907,0.8323,0.7549,0.8553,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.05392116 0.3623544  0.18176356 ... 0.35939282 0.08292062 0.33990192],hybrid_caf_baseline
Q2,HybridLSTM_CAF,0.44,0.8405,0.8436,0.8142,0.8286,0.9157,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.03321677 0.11194577 0.06747104 ... 0.1245238  0.948952   0.2875089 ],hybrid_caf_baseline
Q2,HybridBiLSTM_CAF,0.44,0.8388,0.8388,0.8164,0.8275,0.9163,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.05253965 0.12410886 0.09285463 ... 0.1324668  0.8438773  0.33947396],hybrid_caf_baseline
Q3,HybridLSTM_CAF,0.54,0.8848,0.9175,0.8315,0.8724,0.9438,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.01080137 0.12322903 0.04739679 ... 0.12208115 0.99986935 0.07705206],hybrid_caf_baseline
Q3,HybridBiLSTM_CAF,0.62,0.8883,0.9285,0.8278,0.8753,0.9455,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.02067208 0.10666662 0.06104809 ... 0.12175725 0.996986   0.06348781],hybrid_caf_baseline
Master,HybridLSTM_CAF,0.5,0.9159,0.9308,0.8883,0.9091,0.9638,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00958844 0.04109616 0.02604671 ... 0.1434449  0.99962544 0.10246216],hybrid_caf_baseline
Master,HybridBiLSTM_CAF,0.54,0.9184,0.9392,0.8849,0.9112,0.9642,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00544608 0.04578772 0.04627066 ... 0.12024933 0.9994531  0.11066069],hybrid_caf_baseline
