Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,HybridLSTM,0.38,0.7361,0.6834,0.825,0.7475,0.8449,,,[0 0 0 ... 0 1 0],['seq+static'],[0.07366307 0.29446653 0.1346596  ... 0.47354594 0.17592622 0.20972686],hybrid_baseline
Q1,HybridBiLSTM,0.38,0.746,0.7017,0.8062,0.7504,0.8468,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06203671 0.1875612  0.11271624 ... 0.40667808 0.12371818 0.21446916],hybrid_baseline
Q2,HybridLSTM,0.42,0.8261,0.8129,0.8221,0.8175,0.9076,,,[0 0 0 ... 0 1 0],['seq+static'],[0.04331724 0.10363203 0.04598147 ... 0.22402658 0.698381   0.28696626],hybrid_baseline
Q2,HybridBiLSTM,0.46,0.8361,0.8462,0.7991,0.822,0.91,,,[0 0 0 ... 0 1 0],['seq+static'],[0.02955462 0.10585386 0.03937426 ... 0.16014029 0.77922285 0.3083315 ],hybrid_baseline
Q3,HybridLSTM,0.6,0.8859,0.9289,0.8219,0.8721,0.9444,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00582567 0.06840703 0.02434559 ... 0.07917748 0.9986987  0.05432956],hybrid_baseline
Q3,HybridBiLSTM,0.5,0.8917,0.9374,0.8264,0.8784,0.946,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00917144 0.06141803 0.04031745 ... 0.10229573 0.99535084 0.08659819],hybrid_baseline
Master,HybridLSTM,0.5,0.9173,0.9366,0.8853,0.9102,0.9611,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00837794 0.0290283  0.0208152  ... 0.14596848 0.9999701  0.06762996],hybrid_baseline
Master,HybridBiLSTM,0.52,0.9147,0.9349,0.8812,0.9073,0.9602,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00873491 0.0213512  0.02815128 ... 0.09428824 0.9995165  0.08371059],hybrid_baseline
