Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Master_Val_AUC,Best_Params
Q1,HybridLSTM_tuned,0.36,0.7363,0.6841,0.8233,0.7473,0.8467,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06262064 0.26051387 0.15879326 ... 0.42498073 0.10969022 0.19688493],0.9675,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q1,HybridBiLSTM_tuned,0.36,0.7445,0.6984,0.8105,0.7503,0.8472,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06036218 0.23630331 0.18198003 ... 0.38151014 0.13942905 0.20293918],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridLSTM_tuned,0.4,0.823,0.8141,0.8113,0.8127,0.9069,,,[0 0 0 ... 0 1 0],['seq+static'],[0.02515542 0.10817908 0.05363459 ... 0.15103991 0.8513027  0.18520224],0.9675,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridBiLSTM_tuned,0.44,0.8285,0.826,0.8079,0.8169,0.9086,,,[0 0 0 ... 0 1 0],['seq+static'],[0.03189575 0.08935439 0.08356023 ... 0.13279204 0.76002413 0.2999585 ],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridLSTM_tuned,0.44,0.8871,0.9122,0.8427,0.8761,0.9447,,,[0 0 0 ... 0 1 0],['seq+static'],[0.01101972 0.06295469 0.07481114 ... 0.10451815 0.9993223  0.06243519],0.9675,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridBiLSTM_tuned,0.56,0.8891,0.9234,0.8352,0.8771,0.9445,,,[0 0 0 ... 0 1 0],['seq+static'],[0.0075171  0.1025774  0.03436282 ... 0.09742782 0.99938583 0.10353985],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridLSTM_tuned,0.38,0.917,0.9383,0.8828,0.9097,0.9604,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00627913 0.03384389 0.02267659 ... 0.13213906 0.99936825 0.05325983],0.9675,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridBiLSTM_tuned,0.5,0.9174,0.9461,0.8755,0.9094,0.9603,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00931976 0.02751215 0.03379678 ... 0.14005207 0.9998363  0.13530079],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
