Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Master_Val_AUC,Best_Params
Q1,HybridLSTM_CAF_tuned,0.36,0.7356,0.677,0.8447,0.7516,0.8519,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.0358525  0.44782817 0.16390823 ... 0.37949222 0.08917568 0.35104895],0.9698,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q1,HybridBiLSTM_CAF_tuned,0.38,0.7466,0.6955,0.8268,0.7555,0.8542,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.06164904 0.37813258 0.1815472  ... 0.38981193 0.0909605  0.39280513],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridLSTM_CAF_tuned,0.42,0.8335,0.8262,0.8211,0.8236,0.9145,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.02788074 0.13070774 0.07651557 ... 0.11032867 0.9415518  0.25599036],0.9698,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridBiLSTM_CAF_tuned,0.44,0.8369,0.8349,0.817,0.8259,0.9165,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.06199844 0.12886767 0.08202336 ... 0.14738917 0.7611742  0.3464099 ],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridLSTM_CAF_tuned,0.48,0.8887,0.9149,0.8433,0.8777,0.9464,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.01602973 0.15253027 0.11480669 ... 0.134969   0.9967167  0.12094694],0.9698,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridBiLSTM_CAF_tuned,0.48,0.8919,0.9256,0.8392,0.8803,0.9472,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.01724291 0.13079453 0.07290129 ... 0.12116931 0.99683255 0.11204707],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridLSTM_CAF_tuned,0.38,0.9168,0.9358,0.8851,0.9097,0.9636,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.0090671  0.0402854  0.02086639 ... 0.13043092 0.999851   0.08245528],0.9698,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridBiLSTM_CAF_tuned,0.44,0.9183,0.9398,0.8841,0.9111,0.9645,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00686658 0.04584589 0.04502826 ... 0.13935032 0.9990387  0.18271628],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
