Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,LSTM,0.34,0.7074,0.6489,0.8325,0.7293,0.8293,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.11074482 0.24183634 0.18863453 ... 0.8913628  0.18853916 0.4052856 ],seq_baseline
Q1,BiLSTM,0.34,0.712,0.656,0.824,0.7304,0.8293,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.14453793 0.21226035 0.23049618 ... 0.6756761  0.17033932 0.30938023],seq_baseline
Q2,LSTM,0.44,0.827,0.8393,0.785,0.8112,0.9007,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.05594091 0.16815484 0.07638842 ... 0.20962705 0.8315131  0.42601693],seq_baseline
Q2,BiLSTM,0.36,0.8209,0.814,0.806,0.81,0.9021,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.06064434 0.1353281  0.06294721 ... 0.18848433 0.75641876 0.4655128 ],seq_baseline
Q3,LSTM,0.48,0.8842,0.9155,0.8323,0.8719,0.9405,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.01777693 0.12425638 0.05415916 ... 0.08422368 0.99945146 0.10802727],seq_baseline
Q3,BiLSTM,0.46,0.889,0.9316,0.8264,0.8758,0.9429,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.03058832 0.10038197 0.09366399 ... 0.10939787 0.9942914  0.15992261],seq_baseline
Master,LSTM,0.5,0.9167,0.9507,0.8692,0.9081,0.9584,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02442357 0.03013144 0.03068636 ... 0.15482557 0.9997851  0.12463755],seq_baseline
Master,BiLSTM,0.42,0.9146,0.9372,0.8786,0.9069,0.9581,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.03213001 0.03847743 0.06735362 ... 0.15628757 0.9991239  0.23119293],seq_baseline
