Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,HybridLSTM_CAF,0.38,0.7436,0.6891,0.8352,0.7552,0.8531,,"[[[0.00880851 0.         0.00499035]
  [0.00096743 0.         0.0022877 ]
  [0.00245297 0.         0.00107757]
  ...
  [0.00387956 0.         0.00568051]
  [0.0050307  0.         0.00339624]
  [0.00538592 0.         0.00926262]]

 [[0.00010424 0.         0.00041586]
  [0.00062883 0.         0.        ]
  [0.00084206 0.         0.00125716]
  ...
  [0.         0.         0.        ]
  [0.00089435 0.         0.00254718]
  [0.00448826 0.         0.        ]]

 [[0.00901699 0.         0.00016635]
  [0.00357949 0.         0.00051993]
  [0.00402726 0.         0.00062858]
  ...
  [0.00744625 0.         0.00549726]
  [0.00413635 0.         0.00084906]
  [0.         0.         0.        ]]

 ...

 [[0.00049329 0.00538909 0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.00019487 0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00024665 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.00513419 0.         0.03459144]
  [0.00116924 0.         0.01743438]
  [0.00222387 0.         0.00954279]]

 [[0.00067828 0.         0.00350545]
  [0.00376712 0.         0.00340338]
  [0.00539113 0.02879355 0.01008123]
  ...
  [0.00630105 0.02501251 0.00307479]
  [0.00974364 0.         0.00180356]
  [0.00074129 0.01017708 0.        ]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.03609599 0.42407736 0.16097835 ... 0.35682756 0.09700888 0.3655042 ],hybrid_lstm_caf
Q1,HybridBiLSTM_CAF,0.4,0.7509,0.7043,0.8168,0.7564,0.8555,,"[[[0.00880851 0.         0.00499035]
  [0.00096743 0.         0.0022877 ]
  [0.00245297 0.         0.00107757]
  ...
  [0.00387956 0.         0.00568051]
  [0.0050307  0.         0.00339624]
  [0.00538592 0.         0.00926262]]

 [[0.00010424 0.         0.00041586]
  [0.00062883 0.         0.        ]
  [0.00084206 0.         0.00125716]
  ...
  [0.         0.         0.        ]
  [0.00089435 0.         0.00254718]
  [0.00448826 0.         0.        ]]

 [[0.00901699 0.         0.00016635]
  [0.00357949 0.         0.00051993]
  [0.00402726 0.         0.00062858]
  ...
  [0.00744625 0.         0.00549726]
  [0.00413635 0.         0.00084906]
  [0.         0.         0.        ]]

 ...

 [[0.00049329 0.00538909 0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.00019487 0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00024665 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.00513419 0.         0.03459144]
  [0.00116924 0.         0.01743438]
  [0.00222387 0.         0.00954279]]

 [[0.00067828 0.         0.00350545]
  [0.00376712 0.         0.00340338]
  [0.00539113 0.02879355 0.01008123]
  ...
  [0.00630105 0.02501251 0.00307479]
  [0.00974364 0.         0.00180356]
  [0.00074129 0.01017708 0.        ]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.05195845 0.35295036 0.17338109 ... 0.3440593  0.08831409 0.32279885],hybrid_lstm_caf
Q2,HybridLSTM_CAF,0.42,0.8364,0.8325,0.8193,0.8258,0.9144,,"[[[8.80850665e-03 0.00000000e+00 4.99035185e-03]
  [9.67428612e-04 0.00000000e+00 2.28769891e-03]
  [2.45296536e-03 0.00000000e+00 1.07756688e-03]
  ...
  [1.74289476e-03 0.00000000e+00 3.44706350e-04]
  [1.37754958e-02 0.00000000e+00 4.64257924e-03]
  [8.48652516e-03 0.00000000e+00 6.11052057e-03]]

 [[1.04242674e-04 0.00000000e+00 4.15862654e-04]
  [6.28828595e-04 0.00000000e+00 0.00000000e+00]
  [8.42062698e-04 0.00000000e+00 1.25716138e-03]
  ...
  [1.41610194e-03 0.00000000e+00 1.03411905e-03]
  [3.06122151e-04 0.00000000e+00 0.00000000e+00]
  [2.89313350e-04 0.00000000e+00 1.59404892e-03]]

 [[9.01699159e-03 0.00000000e+00 1.66345068e-04]
  [3.57948593e-03 0.00000000e+00 5.19931549e-04]
  [4.02725628e-03 0.00000000e+00 6.28580688e-04]
  ...
  [5.44654578e-03 0.00000000e+00 4.48118243e-03]
  [1.33673334e-02 0.00000000e+00 2.90161202e-04]
  [7.81146018e-03 0.00000000e+00 0.00000000e+00]]

 ...

 [[4.93294268e-04 5.38909249e-03 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [1.98177557e-04 1.17577445e-02 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[2.46647134e-04 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[6.78279612e-04 0.00000000e+00 3.50545091e-03]
  [3.76711506e-03 0.00000000e+00 3.40337679e-03]
  [5.39112603e-03 2.87935510e-02 1.00812260e-02]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [9.90887784e-05 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.03113852 0.10743875 0.0737372  ... 0.1284399  0.920143   0.2516147 ],hybrid_lstm_caf
Q2,HybridBiLSTM_CAF,0.44,0.8386,0.8425,0.8107,0.8263,0.9167,,"[[[8.80850665e-03 0.00000000e+00 4.99035185e-03]
  [9.67428612e-04 0.00000000e+00 2.28769891e-03]
  [2.45296536e-03 0.00000000e+00 1.07756688e-03]
  ...
  [1.74289476e-03 0.00000000e+00 3.44706350e-04]
  [1.37754958e-02 0.00000000e+00 4.64257924e-03]
  [8.48652516e-03 0.00000000e+00 6.11052057e-03]]

 [[1.04242674e-04 0.00000000e+00 4.15862654e-04]
  [6.28828595e-04 0.00000000e+00 0.00000000e+00]
  [8.42062698e-04 0.00000000e+00 1.25716138e-03]
  ...
  [1.41610194e-03 0.00000000e+00 1.03411905e-03]
  [3.06122151e-04 0.00000000e+00 0.00000000e+00]
  [2.89313350e-04 0.00000000e+00 1.59404892e-03]]

 [[9.01699159e-03 0.00000000e+00 1.66345068e-04]
  [3.57948593e-03 0.00000000e+00 5.19931549e-04]
  [4.02725628e-03 0.00000000e+00 6.28580688e-04]
  ...
  [5.44654578e-03 0.00000000e+00 4.48118243e-03]
  [1.33673334e-02 0.00000000e+00 2.90161202e-04]
  [7.81146018e-03 0.00000000e+00 0.00000000e+00]]

 ...

 [[4.93294268e-04 5.38909249e-03 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [1.98177557e-04 1.17577445e-02 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[2.46647134e-04 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[6.78279612e-04 0.00000000e+00 3.50545091e-03]
  [3.76711506e-03 0.00000000e+00 3.40337679e-03]
  [5.39112603e-03 2.87935510e-02 1.00812260e-02]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [9.90887784e-05 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.04607216 0.11649539 0.08695938 ... 0.13792916 0.8708915  0.3112892 ],hybrid_lstm_caf
Q3,HybridLSTM_CAF,0.48,0.8836,0.9022,0.846,0.8732,0.9437,,"[[[8.80850665e-03 0.00000000e+00 4.99035185e-03]
  [9.67428612e-04 0.00000000e+00 2.28769891e-03]
  [2.45296536e-03 0.00000000e+00 1.07756688e-03]
  ...
  [1.53713720e-02 0.00000000e+00 0.00000000e+00]
  [7.00224936e-03 0.00000000e+00 4.76977881e-03]
  [8.13318230e-03 0.00000000e+00 1.14025082e-02]]

 [[1.04242674e-04 0.00000000e+00 4.15862654e-04]
  [6.28828595e-04 0.00000000e+00 0.00000000e+00]
  [8.42062698e-04 0.00000000e+00 1.25716138e-03]
  ...
  [1.70793021e-04 0.00000000e+00 1.30943756e-03]
  [1.05033745e-03 0.00000000e+00 1.05995080e-03]
  [1.96318189e-03 0.00000000e+00 9.62086674e-03]]

 [[9.01699159e-03 0.00000000e+00 1.66345068e-04]
  [3.57948593e-03 0.00000000e+00 5.19931549e-04]
  [4.02725628e-03 0.00000000e+00 6.28580688e-04]
  ...
  [9.39361658e-03 0.00000000e+00 0.00000000e+00]
  [5.25168725e-04 0.00000000e+00 0.00000000e+00]
  [1.82295463e-03 0.00000000e+00 3.56328383e-04]]

 ...

 [[4.93294268e-04 5.38909249e-03 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [5.43488131e-04 4.11861623e-03 0.00000000e+00]
  [9.71711561e-05 0.00000000e+00 0.00000000e+00]
  [1.12789923e-04 4.19306150e-03 0.00000000e+00]]

 [[2.46647134e-04 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[6.78279612e-04 0.00000000e+00 3.50545091e-03]
  [3.76711506e-03 0.00000000e+00 3.40337679e-03]
  [5.39112603e-03 2.87935510e-02 1.00812260e-02]
  ...
  [9.05813504e-05 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [3.38369771e-03 4.83814767e-03 0.00000000e+00]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.01036801 0.11883446 0.04870268 ... 0.12589939 0.99986017 0.08266135],hybrid_lstm_caf
Q3,HybridBiLSTM_CAF,0.4,0.8905,0.9158,0.8466,0.8798,0.9471,,"[[[8.80850665e-03 0.00000000e+00 4.99035185e-03]
  [9.67428612e-04 0.00000000e+00 2.28769891e-03]
  [2.45296536e-03 0.00000000e+00 1.07756688e-03]
  ...
  [1.53713720e-02 0.00000000e+00 0.00000000e+00]
  [7.00224936e-03 0.00000000e+00 4.76977881e-03]
  [8.13318230e-03 0.00000000e+00 1.14025082e-02]]

 [[1.04242674e-04 0.00000000e+00 4.15862654e-04]
  [6.28828595e-04 0.00000000e+00 0.00000000e+00]
  [8.42062698e-04 0.00000000e+00 1.25716138e-03]
  ...
  [1.70793021e-04 0.00000000e+00 1.30943756e-03]
  [1.05033745e-03 0.00000000e+00 1.05995080e-03]
  [1.96318189e-03 0.00000000e+00 9.62086674e-03]]

 [[9.01699159e-03 0.00000000e+00 1.66345068e-04]
  [3.57948593e-03 0.00000000e+00 5.19931549e-04]
  [4.02725628e-03 0.00000000e+00 6.28580688e-04]
  ...
  [9.39361658e-03 0.00000000e+00 0.00000000e+00]
  [5.25168725e-04 0.00000000e+00 0.00000000e+00]
  [1.82295463e-03 0.00000000e+00 3.56328383e-04]]

 ...

 [[4.93294268e-04 5.38909249e-03 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [5.43488131e-04 4.11861623e-03 0.00000000e+00]
  [9.71711561e-05 0.00000000e+00 0.00000000e+00]
  [1.12789923e-04 4.19306150e-03 0.00000000e+00]]

 [[2.46647134e-04 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  ...
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]]

 [[6.78279612e-04 0.00000000e+00 3.50545091e-03]
  [3.76711506e-03 0.00000000e+00 3.40337679e-03]
  [5.39112603e-03 2.87935510e-02 1.00812260e-02]
  ...
  [9.05813504e-05 0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00]
  [3.38369771e-03 4.83814767e-03 0.00000000e+00]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.02198645 0.10133793 0.07925771 ... 0.11652054 0.99644274 0.06580821],hybrid_lstm_caf
Master,HybridLSTM_CAF,0.46,0.9132,0.9217,0.8924,0.9068,0.9628,,"[[[0.00880851 0.         0.00499035]
  [0.00096743 0.         0.0022877 ]
  [0.00245297 0.         0.00107757]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00892538 0.         0.        ]]

 [[0.00010424 0.         0.00041586]
  [0.00062883 0.         0.        ]
  [0.00084206 0.         0.00125716]
  ...
  [0.00488854 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00901699 0.         0.00016635]
  [0.00357949 0.         0.00051993]
  [0.00402726 0.         0.00062858]
  ...
  [0.00244427 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.00049329 0.00538909 0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00024665 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00067828 0.         0.00350545]
  [0.00376712 0.         0.00340338]
  [0.00539113 0.02879355 0.01008123]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00953328 0.06110178 0.02177602 ... 0.18028757 0.9999144  0.12382484],hybrid_lstm_caf
Master,HybridBiLSTM_CAF,0.38,0.9167,0.9324,0.8885,0.91,0.9647,,"[[[0.00880851 0.         0.00499035]
  [0.00096743 0.         0.0022877 ]
  [0.00245297 0.         0.00107757]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00892538 0.         0.        ]]

 [[0.00010424 0.         0.00041586]
  [0.00062883 0.         0.        ]
  [0.00084206 0.         0.00125716]
  ...
  [0.00488854 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00901699 0.         0.00016635]
  [0.00357949 0.         0.00051993]
  [0.00402726 0.         0.00062858]
  ...
  [0.00244427 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.00049329 0.00538909 0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00024665 0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.00067828 0.         0.00350545]
  [0.00376712 0.         0.00340338]
  [0.00539113 0.02879355 0.01008123]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00394596 0.03393152 0.02806439 ... 0.09774614 0.9994252  0.1311729 ],hybrid_lstm_caf
