Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Master_Val_AUC,Best_Params
Q1,HybridLSTM_CAF_tuned,0.36,0.736,0.6774,0.8449,0.7519,0.8519,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.03557498 0.44877106 0.16284919 ... 0.3791946  0.08910396 0.35061154],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q1,HybridBiLSTM_CAF_tuned,0.38,0.7491,0.6988,0.826,0.7571,0.8541,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q1_risk_prior', 'caf_q1_z_AP', 'caf_q1_z_total', 'caf_q1_z_active']",[0.04251883 0.4228166  0.14127286 ... 0.41921008 0.08442067 0.32072622],0.9703,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q2,HybridLSTM_CAF_tuned,0.42,0.8336,0.8274,0.8195,0.8234,0.9144,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.02759236 0.12984872 0.07513309 ... 0.1072034  0.9418769  0.25835383],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridBiLSTM_CAF_tuned,0.44,0.8409,0.8408,0.8191,0.8298,0.9159,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q2_risk_prior', 'caf_q2_z_AP', 'caf_q2_z_total', 'caf_q2_z_active']",[0.05854427 0.12335721 0.08121023 ... 0.18922111 0.7784185  0.33477905],0.9703,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q3,HybridLSTM_CAF_tuned,0.48,0.8886,0.9143,0.8437,0.8776,0.9463,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.0163562  0.15156916 0.11420651 ... 0.13649037 0.9968755  0.11896247],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridBiLSTM_CAF_tuned,0.48,0.8909,0.9303,0.8319,0.8783,0.946,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_q3_risk_prior', 'caf_q3_z_AP', 'caf_q3_z_total', 'caf_q3_z_active']",[0.01274321 0.09702157 0.06728417 ... 0.09617386 0.997957   0.05502852],0.9703,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Master,HybridLSTM_CAF_tuned,0.38,0.9172,0.936,0.8857,0.9102,0.9636,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00956086 0.04515396 0.02280506 ... 0.11599056 0.99983263 0.09588999],0.9702,"{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridBiLSTM_CAF_tuned,0.38,0.9191,0.9372,0.8885,0.9122,0.9648,,,[0 0 0 ... 0 1 0],"['gender_bin', 'disability_bin', 'age_band_ord', 'age_band_missing_flag', 'highest_education_ord', 'highest_education_missing_flag', 'imd_ordinal', 'imd_unknown_flag', 'nation_England', 'nation_Scotland', 'nation_Wales', 'nation_Northern_Ireland', 'late_registration_flag', 'studied_credits', 'course_type_stem', 'num_of_prev_attempts', 'caf_master_risk_prior', 'caf_master_z_AP', 'caf_master_z_total', 'caf_master_z_active']",[0.00868096 0.05178839 0.06229484 ... 0.09908235 0.9997974  0.1163147 ],0.9703,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
