Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Master_Val_AUC,Best_Params
Q1,HybridLSTM_tuned,0.36,0.7361,0.6842,0.8221,0.7469,0.8468,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06258263 0.26231226 0.16110714 ... 0.42563394 0.11091285 0.1964635 ],0.9674,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q1,HybridBiLSTM_tuned,0.36,0.7445,0.6984,0.8105,0.7503,0.8472,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06036212 0.23630449 0.1819806  ... 0.381509   0.13942957 0.20293918],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridLSTM_tuned,0.42,0.8265,0.8114,0.8256,0.8184,0.9084,,,[0 0 0 ... 0 1 0],['seq+static'],[0.04978127 0.10819394 0.08271288 ... 0.26447576 0.61025125 0.2339892 ],0.9674,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q2,HybridBiLSTM_tuned,0.44,0.8281,0.8251,0.8083,0.8166,0.9086,,,[0 0 0 ... 0 1 0],['seq+static'],[0.03781577 0.09301129 0.09519106 ... 0.12988308 0.76109606 0.29491162],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridLSTM_tuned,0.46,0.8878,0.9181,0.8378,0.8761,0.9445,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00996253 0.06445181 0.04671343 ... 0.09916496 0.9957223  0.05714121],0.9674,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Q3,HybridBiLSTM_tuned,0.42,0.8886,0.9125,0.8458,0.8779,0.9451,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00870061 0.1062661  0.05405561 ... 0.09597991 0.99832684 0.12220154],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridLSTM_tuned,0.42,0.9188,0.9474,0.8771,0.9109,0.9611,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00721355 0.03406852 0.02405751 ... 0.14185576 0.99949574 0.06114022],0.9674,"{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'static_hidden_dim': 32, 'clf_hidden_dim': 64, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
Master,HybridBiLSTM_tuned,0.46,0.9182,0.9485,0.8747,0.9101,0.961,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00971735 0.02659838 0.02787031 ... 0.14654003 0.99976224 0.13697153],0.969,"{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2, 'static_hidden_dim': 16, 'clf_hidden_dim': 32, 'lr': 0.001, 'batch_size': 256, 'weight_decay': 0.0001}"
