Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,HybridLSTM,0.38,0.7361,0.6834,0.8248,0.7475,0.845,,,[0 0 0 ... 0 1 0],['seq+static'],[0.07322463 0.29405996 0.13436124 ... 0.4722534  0.17545311 0.20928474],hybrid_baseline
Q1,HybridBiLSTM,0.34,0.7266,0.6679,0.8407,0.7444,0.8468,,,[0 0 0 ... 0 1 0],['seq+static'],[0.06160438 0.18743819 0.11100232 ... 0.4006068  0.12343405 0.21467367],hybrid_baseline
Q2,HybridLSTM,0.42,0.8268,0.8148,0.8209,0.8178,0.9077,,,[0 0 0 ... 0 1 0],['seq+static'],[0.04227174 0.1029318  0.04470605 ... 0.2205668  0.69836664 0.28409484],hybrid_baseline
Q2,HybridBiLSTM,0.42,0.8358,0.8392,0.8081,0.8233,0.9098,,,[0 0 0 ... 0 1 0],['seq+static'],[0.03313704 0.11582237 0.04298432 ... 0.15518081 0.90487045 0.32382607],hybrid_baseline
Q3,HybridLSTM,0.6,0.8863,0.9287,0.8231,0.8728,0.9443,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00556589 0.06463216 0.02302322 ... 0.07871457 0.9988619  0.05096722],hybrid_baseline
Q3,HybridBiLSTM,0.44,0.8912,0.9266,0.8364,0.8792,0.947,,,[0 0 0 ... 0 1 0],['seq+static'],[0.01534171 0.07803145 0.05844251 ... 0.13727352 0.992679   0.10581271],hybrid_baseline
Master,HybridLSTM,0.54,0.9173,0.9395,0.8822,0.91,0.961,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00843708 0.03767408 0.02125879 ... 0.17123497 0.99990463 0.08740815],hybrid_baseline
Master,HybridBiLSTM,0.58,0.9165,0.9386,0.8814,0.9091,0.9607,,,[0 0 0 ... 0 1 0],['seq+static'],[0.00861973 0.02124754 0.02782139 ... 0.09897633 0.99900573 0.10440873],hybrid_baseline
