Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Experiment
Q1,LSTM,0.34,0.7081,0.6497,0.8323,0.7297,0.8293,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.1106542  0.24096216 0.18774316 ... 0.88957113 0.18793675 0.40297696],seq_baseline
Q1,BiLSTM,0.34,0.7123,0.6564,0.8233,0.7305,0.8294,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.14409699 0.2121907  0.22900687 ... 0.6847858  0.1689931  0.30480674],seq_baseline
Q2,LSTM,0.44,0.8268,0.8379,0.7865,0.8114,0.9007,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.05592738 0.1686881  0.07658442 ... 0.21051016 0.8336477  0.42739064],seq_baseline
Q2,BiLSTM,0.46,0.8221,0.8205,0.7991,0.8097,0.9011,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.0819582  0.20745149 0.08396298 ... 0.2690731  0.8560457  0.5113161 ],seq_baseline
Q3,LSTM,0.44,0.8838,0.9116,0.8358,0.872,0.9408,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.01828809 0.12444006 0.05657212 ... 0.08615802 0.9992526  0.10800362],seq_baseline
Q3,BiLSTM,0.48,0.8896,0.9338,0.8254,0.8763,0.9433,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02132357 0.11072115 0.07189082 ... 0.14367782 0.9957326  0.1566875 ],seq_baseline
Master,LSTM,0.56,0.9144,0.9471,0.8678,0.9057,0.9583,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02503537 0.0307549  0.03170955 ... 0.15273161 0.9998894  0.12510447],seq_baseline
Master,BiLSTM,0.46,0.9163,0.9507,0.8682,0.9076,0.958,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02979535 0.03953058 0.06505851 ... 0.1653174  0.9987914  0.21225402],seq_baseline
