Window,Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,_model,_X_te,_y_te,_features,_y_prob,Master_Val_AUC,Best_Params
Q1,LSTM_tuned,0.34,0.7148,0.6606,0.8181,0.7309,0.8283,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.10607573 0.22494279 0.21068458 ... 0.8365596  0.16032581 0.33992076],0.9654,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q1,BiLSTM_tuned,0.38,0.7172,0.6673,0.8032,0.729,0.8262,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.14258075 0.22950807 0.20957324 ... 0.68632495 0.20994772 0.19373454],0.9667,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q2,LSTM_tuned,0.42,0.8219,0.8222,0.796,0.8089,0.8994,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.07528075 0.19452092 0.09286869 ... 0.21975723 0.8536568  0.41926447],0.9654,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q2,BiLSTM_tuned,0.42,0.8256,0.8325,0.7907,0.8111,0.901,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.07471994 0.15488267 0.08539172 ... 0.26427293 0.73823816 0.5069221 ],0.9667,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q3,LSTM_tuned,0.48,0.8852,0.9179,0.8319,0.8728,0.9403,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.01758523 0.08726842 0.04064147 ... 0.07048994 0.9986627  0.06239261],0.9654,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Q3,BiLSTM_tuned,0.36,0.8874,0.9254,0.8291,0.8746,0.9422,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02430141 0.06717055 0.05575486 ... 0.08644035 0.99293584 0.09159774],0.9667,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Master,LSTM_tuned,0.38,0.9182,0.9442,0.8792,0.9105,0.9592,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.04038738 0.0419738  0.04661192 ... 0.13012639 0.9989473  0.11925041],0.9654,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
Master,BiLSTM_tuned,0.48,0.9124,0.9314,0.8798,0.9049,0.9583,,,[0 0 0 ... 0 1 0],"['content', 'assessment', 'social']",[0.02919543 0.04945907 0.06113069 ... 0.11646096 0.99967384 0.16804679],0.9667,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.3, 'clf_hidden_dim': 64, 'lr': 0.0005, 'batch_size': 128, 'weight_decay': 0.0001}"
